Symbol,Sector,Momentum_1W,Momentum_1M,Momentum_3M,Momentum_6M
INFY,IT Services,-0.707,2.8681,,
RELIANCE,Oil & Gas,1.9875,3.5519,,
TCS,IT Services,2.6709,3.0114,,
