symbol,12M,1M,1W,3M,6M,9M
COALINDIA,-6.3868,-0.9345,1.0841,0.5849,-2.9836,4.5952
COCHINSHIP,9.6786,-3.99,-1.6643,0.671,-9.376,30.3097
COFORGE,-77.5235,2.9873,0.1391,5.3383,-78.2183,-75.9932
COHANCE,-42.4013,-29.9294,-10.9326,-31.2098,-43.0356,-42.4013
CONCOR,-33.9759,-2.8007,-0.7745,-6.9327,-29.6904,-24.5419
CPSEETF,6.6332,-0.6383,0.6249,3.3872,1.4115,16.823
CRAMC,-2.7792,-3.8829,-7.1962,-2.7792,-2.7792,-2.7792
CROMPTON,-28.1327,-3.7972,-1.057,-15.8977,-20.1879,-17.0596
CUB,58.018,19.5344,3.7141,26.6985,38.5509,79.2224
CUPID,272.4286,24.1478,23.5399,87.5315,215.4901,357.0343
DABUR,3.2448,4.0531,0.9712,-1.8692,10.0514,3.2144
DAMCAPITAL,-42.3127,-6.0757,1.3931,5.7779,1.6945,-1.9009
DAVANGERE,-37.5626,7.781,3.3149,19.1083,-5.0761,-26.8102
DBREALTY,-5.552,-3.8575,2.6379,-17.1574,-22.3873,12.4088
DCBBANK,55.0901,21.2184,4.2347,43.2185,26.6142,58.4221
DCW,-30.6355,4.7035,-1.748,-16.3048,-11.5526,-11.9796
DELHIVERY,33.3333,-8.107,1.4648,-7.3657,24.3659,59.6488
DEVYANI,-14.2263,-16.6143,-2.795,-18.6148,-23.3753,-21.7867
DHANBANK,-13.2903,3.2655,2.361,-1.7544,-10.1003,-6.5043
DIACABS,12.336,5.0244,2.7685,-0.6067,58.7089,52.2939
DISHTV,-58.0131,2.7523,2.7523,-14.1762,-23.4188,-34.5985
DLF,0.6912,-1.1758,-0.0523,-0.7333,-1.4114,11.4536
DREDGECORP,-4.2567,24.6305,-6.3105,25.1945,5.5567,34.7146
DRREDDY,4.3945,-2.8081,2.8477,0.0482,1.9473,8.1785
DUCON,-40.9488,-3.8618,1.2848,-18.3074,-22.0758,-25.8621
