symbol,12M,1M,1W,3M,6M,9M
PSB,-36.8399,-2.1111,-1.1479,2.6917,-1.1155,-30.7604
PSPPROJECT,55.7515,26.6212,2.6832,52.8546,51.9512,60.3855
PSUBNKBEES,28.9311,7.1208,1.1658,18.3483,25.5627,41.5924
PTC,-1.2306,0.8088,-0.2365,-13.3779,-8.9586,8.7155
PVTBANIETF,14.7534,-0.8036,0.6024,4.5287,3.5376,15.5474
QUADFUTURE,-32.1284,-18.7407,-0.6429,-22.5918,-35.7531,-35.8352
RAIN,-22.4177,-7.6856,-5.5214,-23.6094,-19.3611,-10.5952
RAJRATAN,-6.7947,23.9686,-1.0868,44.4818,15.3424,19.3719
RALLIS,-17.397,-13.1023,1.0887,-33.2268,-10.9414,14.8946
RAMASTEEL,-13.1514,5.5276,-2.1435,-2.6877,-6.0823,-2.9575
RBA,-22.5731,-11.0531,-1.4237,-22.9801,-24.0569,-8.5884
RBLBANK,101.1806,-2.4491,-0.5462,24.1816,53.2782,95.9958
RCF,-1.4041,1.5406,1.5406,-4.4692,-1.1121,15.0789
RECLTD,-28.5329,-4.4436,-1.1048,-5.9866,-10.8885,-11.2749
REDINGTON,54.1076,10.2919,2.2199,19.578,7.2104,17.1723
REGAAL,-31.1902,7.2495,4.2727,-31.1902,-31.1902,-31.1902
RELIANCE,20.4759,3.5519,1.7075,7.4947,7.7693,23.6738
RELIGARE,5.79,1.1476,1.8609,1.9008,12.6175,-1.4741
RENUKA,-28.64,-4.5639,-0.1062,-5.5537,-12.3836,-6.7085
RHETAN,16.5336,14.6488,13.8596,16.5336,16.5336,16.5336
RICOAUTO,15.7432,14.1257,14.7619,2.2454,38.6223,40.0766
RKFORGE,-41.2396,1.5526,1.7489,-3.8281,-10.1885,-21.924
RPOWER,-2.9812,-6.4085,0.3399,-11.3661,-7.3111,9.6286
RTNINDIA,-22.1242,-8.3823,-5.9887,-13.3864,-3.5265,0.9713
RTNPOWER,-19.2581,-7.8378,-1.0638,-18.16,-4.3925,3.8579
RUBICON,13.6262,18.003,14.9622,13.6262,13.6262,13.6262
RVNL,-22.8616,-2.4164,1.0386,-2.9474,-20.7088,-13.6266
SAGILITY,80.4267,17.0217,6.411,18.7695,22.2299,26.9176
SAIL,25.9111,9.3577,-1.669,14.425,12.9235,25.9223
SAKUMA,-7.6364,6.7227,0.0,-7.971,-7.6364,-7.6364
SALASAR,-41.0747,1.7058,-4.5045,19.8492,7.5536,-11.0904
SAMBHV,12.9009,0.2183,0.0545,-9.8511,12.9009,12.9009
SAMHI,1.7868,-9.1899,-3.2169,-12.9652,-1.7836,18.4461
SAMMAANCAP,21.8203,2.4129,-0.1247,45.0189,39.716,47.6075
SANDUMA,-49.0963,0.8659,7.9521,-52.2327,-57.2403,-47.9532
SARVESHWAR,-44.4196,-4.4146,2.6804,-41.2736,-29.8592,-30.0562
SBC,-9.0237,6.5396,-2.0701,28.7284,65.3226,30.1587
SBFC,30.414,-1.6644,-0.9784,-2.2973,3.3667,25.56
SBICARD,29.2297,-6.7168,1.3319,6.949,-1.1635,4.7593
SBILIFE,28.0494,8.7623,0.1802,7.6621,13.7327,33.8037
SBIN,18.8567,6.6501,1.5263,16.7561,23.2537,34.0512
SBISILVER,75.7891,3.4585,3.5745,43.2415,62.5945,63.5086
SCI,26.8953,17.2908,1.3175,23.9778,35.2812,64.2826
SEPC,-50.3515,-0.6157,3.7649,-7.377,-22.8669,-23.0769
SEQUENT,30.2627,15.3068,0.1574,29.3945,27.2031,43.6148
SETFGOLD,65.1026,-1.6006,0.4696,26.3973,30.0073,43.8929
SETFNIF50,11.4617,0.3338,0.6441,3.5571,6.0671,14.5644
SHAH,0.2404,-1.8824,0.2404,11.2,32.381,13.0081
SHANTIGOLD,-0.7673,10.8665,-1.0692,-7.9133,-0.7673,-0.7673
SHAREINDIA,-37.6685,-17.8056,-2.3091,7.2705,-1.064,-22.8458
SHREEJISPG,16.7777,27.7444,9.8046,16.7777,16.7777,16.7777
SHRINGARMS,16.7676,7.4511,-1.4427,16.7676,16.7676,16.7676
SHRIRAMFIN,-71.5851,16.6222,-2.7634,31.3159,24.5556,38.3182
SHRIRAMPPS,-9.2205,0.6163,-3.9885,-0.7407,8.1938,20.9456
SIGACHI,-29.1235,-6.883,-0.5034,13.6015,-17.9806,-6.9317
SILVER,76.7519,3.9183,3.4067,43.2057,61.7138,63.2682
SILVER1,76.1018,4.0048,3.4497,43.039,62.1418,62.5498
SILVERBEES,76.3231,2.9835,3.5191,43.247,62.2657,62.9385
SILVERCASE,59.587,2.3975,3.6398,42.7441,61.4925,59.587
SILVERETF,76.2592,3.388,3.5676,43.2055,62.2227,62.7165
SILVERIETF,76.4452,3.6289,3.5953,43.243,62.6885,63.1541
SINDHUTRAD,0.9808,-6.9914,-1.251,-2.9906,8.2762,52.0873
SJVN,-20.2447,-6.4784,1.4591,-14.4819,-17.4188,-10.2699
SKYGOLD,8.5603,-1.8117,0.0288,10.638,1.835,3.2599
SMALLCAP,-4.6809,-0.2855,0.3758,-0.4167,1.3616,9.739
SONACOMS,-27.2782,5.2905,-0.8575,7.8272,-8.039,-4.3058
SONATSOFTW,-32.354,4.0462,0.6321,0.4834,-4.2237,-9.1318
SOUTHBANK,66.6667,0.7156,-1.9861,26.162,33.2866,58.0699
STAR,-30.9387,15.8796,1.9723,7.5761,29.1915,44.7385
STEELXIND,-11.4706,-9.6096,1.3468,-10.7708,8.5337,5.4907
STLNETWORK,-22.3689,-12.8519,0.9438,-22.3689,-22.3689,-22.3689
STLTECH,2.8332,1.2847,4.8529,-7.6416,73.948,28.2314
SUBEXLTD,-42.3472,-0.2317,-4.7198,0.78,-5.4173,-17.2325
SUNDARAM,-25.2964,5.0,0.5319,-6.4356,-13.3028,-13.3028
SUNPHARMA,0.535,4.0566,2.3891,7.5929,2.2342,6.8958
SUZLON,-2.6662,8.6457,-0.2421,-3.6257,-5.4581,4.5496
SWANCORP,2.6029,7.1847,-3.0428,2.6029,2.6029,2.6029
SWIGGY,-6.427,-6.8263,-0.2917,-6.6382,24.7738,9.0279
SWSOLAR,-51.8751,2.1218,-0.4121,-17.3875,-17.3727,-17.5655
SYNCOMF,-18.002,0.7903,3.625,-3.4924,-15.8803,-2.4706
SYRMA,59.6768,14.675,7.6169,24.198,65.9738,110.0893
TARC,-30.6031,-4.0079,-3.7656,-13.2571,-12.2972,10.7126
TARIL,-60.3242,-33.9902,12.7569,-35.9243,-37.3684,-25.1822
TATACAP,-1.5129,0.0461,-0.0461,-1.5129,-1.5129,-1.5129
TATACONSUM,24.3943,-1.5811,0.1384,4.7498,2.7603,15.3187
TATAGOLD,65.0407,-1.536,0.6612,26.3485,29.9893,43.9716
TATAINVEST,-88.3025,-3.205,0.0642,-88.7715,-87.4028,-86.8847
TATAPOWER,-4.0277,-2.8514,-1.82,-0.5505,-1.82,8.7346
TATASTEEL,23.4049,1.3434,-3.745,7.621,8.0414,23.7994
TATSILV,76.958,2.5658,3.5193,43.8192,62.3958,63.2461
TCS,-22.7267,3.0114,1.9363,0.2388,-10.6701,-17.9609
TDPOWERSYS,90.7502,21.6442,1.0092,53.487,62.3515,135.7336
TECHM,-13.343,-0.36,2.2159,-5.5705,-8.0736,-12.7493
TEJASNET,-59.3344,-3.4371,2.8924,-10.2394,-29.8256,-34.787
TEXRAIL,-33.4064,-2.8845,-3.0791,-5.7708,-16.8174,-9.0637
TFCILTD,-54.0384,-7.0037,-2.1227,-78.4265,-67.39,-56.1004
TI,40.9623,-0.041,-4.2027,-1.6136,41.9881,99.4276
TICL,-40.6143,6.6796,-1.1068,31.8182,31.8182,-24.5894
TIMETECHNO,-45.2025,-7.2919,-2.5764,-57.454,-45.319,-48.5017
TITAN,20.7074,2.4617,0.4407,6.5146,8.1389,20.4189
TMPV,-3.0002,-3.0002,-4.0236,-3.0002,-3.0002,-3.0002
TPHQ,-57.3529,-12.1212,-6.4516,-19.4444,-19.4444,-56.7164
TRANSRAILL,17.7852,-11.3769,0.3,-17.4422,15.8185,24.6654
TRENT,-30.3167,-8.5605,1.7471,-19.4719,-17.7986,-13.0145
TRIDENT,-10.7561,1.0749,0.2844,-2.4888,-14.1771,1.329
TTML,-19.8516,-1.9245,0.0185,-5.2114,-29.5514,-17.3627
TVSMOTOR,40.1697,-7.27,-2.5243,4.8517,20.8256,45.659
UCOBANK,-26.1361,-3.8197,-2.2901,4.9539,-0.3245,-20.3733
UJJIVANSFB,52.7868,1.073,1.5285,18.6126,16.5317,60.1546
UNIONBANK,32.6272,8.0875,0.0917,11.5769,9.1611,32.0539
UNITDSPR,-2.8148,4.6719,1.0534,6.999,-8.8625,9.4068
UNITECH,-7.9838,-4.7619,-0.1468,-7.9838,-7.9838,-7.9838
UNOMINDA,30.9688,6.311,-0.2975,5.8633,27.0977,53.2294
UPL,41.2926,11.4277,0.8307,6.3284,20.0411,17.3668
URBANCO,-15.6627,-8.7667,-3.7027,-15.6627,-15.6627,-15.6627
URJA,-16.7903,-1.201,-0.9631,-11.4778,-20.5409,-16.7903
UTIBANKETF,16.7571,0.8197,0.7018,5.0915,7.0705,20.2754
UTKARSHBNK,-54.6466,-10.341,0.9913,-23.4382,-30.5792,-39.0882
VAIBHAVGBL,-1.2295,18.4434,2.9315,18.0846,6.6415,8.7367
VAKRANGEE,-61.3933,2.6284,5.2696,-8.7141,0.2334,-42.8096
VASCONEQ,5.8878,-12.4924,-2.4983,8.8821,17.7787,46.5015
VBL,-24.67,0.6683,-2.3799,-11.2528,-2.1616,-3.8208
VCL,34.1463,12.2449,18.2796,11.1111,42.8571,37.5
VEDL,17.3966,10.8567,0.2863,17.9237,20.7424,19.8882
VIKASECO,-43.75,-6.7358,-0.5525,-16.2791,-23.0769,-28.2869
VIKASLIFE,-52.6316,-6.6038,-1.4925,-13.5371,-26.1194,-39.0769
VIKRAMSOLR,-11.041,-4.0841,0.2847,-11.041,-11.041,-11.041
VIKRAN,13.8544,10.26,6.1775,13.8544,13.8544,13.8544
VINCOFE,49.4273,20.7404,4.1364,13.2448,69.7053,81.8566
VMM,22.3443,-7.5042,-0.1968,-8.81,13.6715,33.4048
VOLTAS,-20.3455,-6.4992,3.6125,-1.3798,6.2028,6.4539
VTL,0.9362,11.4447,1.3429,5.5355,-10.3544,7.7839
WAAREEENER,7.5214,-4.5029,0.907,6.2573,11.7388,48.1267
WAAREERTL,35.8715,-5.7365,-0.5641,13.4139,14.4178,35.8715
WELCORP,35.8929,10.284,-0.2281,5.2481,19.7913,17.9985
WELSPUNLIV,-6.1851,13.4503,2.5959,14.4453,-8.5663,16.2242
WIPRO,-55.7981,1.2975,1.1089,-2.5793,-0.6384,-20.2318
XCHANGING,-17.603,1.8384,-0.8776,-0.934,-11.0554,-11.938
YATRA,77.8399,12.69,13.5222,21.762,87.7941,141.0668
YESBANK,16.7012,-0.6184,-0.5745,16.219,7.2961,25.488
ZAGGLE,-24.4391,12.6957,4.6685,-1.986,-6.472,13.4451
ZEEL,-12.9289,-3.3288,1.721,-14.5578,-21.0621,2.7193
ZEEMEDIA,-47.4267,-14.8746,0.0,-26.6409,-34.573,-35.6804
