trade_date,avg_price_change,median_price_change,price_volatility,stocks_traded,avg_intraday_volatility,median_volatility,max_volatility,total_volume,total_turnover,unique_stocks,advance_decline_ratio,advancing_stocks,declining_stocks,unchanged_stocks,moon_sign,moon_degree,element,quality,ruling_planet,predicted_volatility,risk_level,market_tendency,sign_numeric,element_numeric,quality_numeric
2025-02-10,-0.4046,-0.3869,0.526,8,1.3053,1.3389,1.6568,47164143,68222847000.0,8,0.125,1,7,0,Cancer,27.28,Water,Cardinal,Moon,1.3,High,Emotional Extremes,2,3,0
2025-02-11,-1.1828,-0.7016,1.2233,8,1.9854,1.7983,3.868,57607065,87345425000.0,8,0.5,0,8,0,Leo,10.85,Fire,Fixed,Sun,1.1,Medium,Strong Leadership,5,2,1
2025-02-12,-0.0194,-0.1189,0.7177,8,2.2732,2.2203,2.9394,70136090,99933726000.0,8,0.42857142857142855,3,4,1,Leo,23.48,Fire,Fixed,Sun,1.1,Medium,Strong Leadership,5,2,1
2025-02-13,-0.587,-0.5409,0.6363,8,1.6371,1.5751,2.0716,49445489,74097595000.0,8,0.125,1,7,0,Virgo,5.24,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
2025-02-14,-0.2133,-0.0071,0.6656,8,1.5711,1.5216,2.2847,54543207,79564307000.0,8,0.5,4,4,0,Virgo,16.35,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
2025-02-17,0.4803,0.6989,1.2346,8,2.0771,2.0038,2.959,45217820,67762038000.0,8,0.8571428571428571,6,1,1,Libra,18.06,Air,Cardinal,Venus,0.8,Low,Balanced Trading,6,0,0
2025-02-18,-0.2648,-0.2367,0.6621,8,1.595,1.5172,2.3729,48018702,75349229000.0,8,0.375,3,5,0,Libra,28.92,Air,Cardinal,Venus,0.8,Low,Balanced Trading,6,0,0
2025-02-19,0.0167,0.623,1.7037,8,2.1628,2.2198,2.8337,48042028,79508105000.0,8,0.625,5,3,0,Scorpio,10.3,Water,Fixed,Mars,1.5,Very High,Deep Transformations,9,3,1
2025-02-20,0.2302,0.4795,0.7915,8,1.3189,1.3746,1.7183,48680742,75942532000.0,8,0.75,6,2,0,Scorpio,22.42,Water,Fixed,Mars,1.5,Very High,Deep Transformations,9,3,1
2025-02-21,0.0112,-0.1517,0.6712,8,1.449,1.5307,1.7949,41470768,63775196000.0,8,0.375,3,5,0,Sagittarius,5.38,Fire,Mutable,Jupiter,1.0,Medium,Expansive Growth,8,2,2
2025-02-24,-0.8258,-0.8267,0.9612,8,1.9891,2.03,3.2082,52243219,80202115000.0,8,0.125,1,7,0,Capricorn,18.52,Earth,Cardinal,Saturn,0.6,Very Low,Disciplined Climb,3,1,0
